Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1157,3175,47087,8260,http://data.gesis.org/claimskg/creative_work/45823d7a-2dcd-5cde-90b4-697cd19dde34,Says no one under the age of 20 has died of the coronavirus. We still don’t know whether children can get it and transmit it to others.,politifact,English,False,1,,,0.0,27,en,91,91_coronavirus_flu_virus_children
1188,3207,47041,8214,http://data.gesis.org/claimskg/creative_work/560cf1fd-3f34-5b07-9e59-1eb84cfd71de,There is no science or data to suggest that kids are at risk from COVID.,politifact,English,False,1,,,0.0,15,en,91,91_coronavirus_flu_virus_children
2818,5161,21789,244,http://data.gesis.org/claimskg/creative_work/0b54c016-9730-5d5e-a744-f8c165566375,A study has concluded that there have been no cases of children transmitting the new coronavirus.,fullfact,English,OTHER,-1,,,0.0,16,en,91,91_coronavirus_flu_virus_children
3616,5975,26002,4457,http://data.gesis.org/claimskg/creative_work/d1426651-bced-5cde-807d-65528155af46,Children can’t get the new coronavirus.,fullfact,English,OTHER,-1,,,0.0,6,en,91,91_coronavirus_flu_virus_children
3715,6075,23692,2147,http://data.gesis.org/claimskg/creative_work/e60858f2-6282-58f8-bef5-c397a8075779,80% of children are not being tested for coronavirus.,fullfact,English,OTHER,-1,,,0.0,9,en,91,91_coronavirus_flu_virus_children
4941,9106,52884,5014,http://data.gesis.org/claimskg/creative_work/12a5cd2f-ae9a-598a-88b3-bf2ea6ff590e,The seasonal cold and flu is actually more dangerous for kids than the Coronavirus and there is very low transmissibility from children to their families and communities.,politifact,English,MIXTURE,2,,,0.0,27,en,91,91_coronavirus_flu_virus_children
11809,16164,53199,5329,http://data.gesis.org/claimskg/creative_work/e613cee7-715d-5d1e-ae66-253f59b21603,Children ages 5 to 9 are not affected by the coronavirus.,politifact,English,MIXTURE,2,5 to 9,['5 to 9'],1.0,11,en,91,91_coronavirus_flu_virus_children
12370,16732,45998,7171,http://data.gesis.org/claimskg/creative_work/2371ec3e-db29-590d-af29-a22ad13a924b,In South Florida all children and adults must remain in their homes due to coronavirus.,politifact,English,False,1,South Florida,['South Florida'],1.0,15,en,91,91_coronavirus_flu_virus_children
21813,26812,22908,1363,http://data.gesis.org/claimskg/creative_work/32733717-54f3-5146-9a44-dfef843a398b,Young people are not at risk from Covid-19 at all.,fullfact,English,FALSE,1,Young people,['Young people'],1.0,10,en,91,91_coronavirus_flu_virus_children
22356,27485,24129,2584,http://data.gesis.org/claimskg/creative_work/35f42c3f-b072-50b4-8891-494f0a9235f7,Children are silent super-spreaders of coronavirus.,fullfact,English,OTHER,-1,coronavirus,['coronavirus'],1.0,6,en,91,91_coronavirus_flu_virus_children
22795,27940,23150,1605,http://data.gesis.org/claimskg/creative_work/7ba68ac6-7fe4-5a64-934c-9ffbdeb11c15,Children aren’t affected by Covid-19 and don’t transmit the virus.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,10,en,91,91_coronavirus_flu_virus_children
28480,33764,52491,4621,http://data.gesis.org/claimskg/creative_work/372cafd5-e3c0-5032-8882-0b5431dcf5f8,"To children and the vast majority of young and middle-aged adults and the vast majority of teachers, (the coronavirus) poses virtually zero threat.",politifact,English,MIXTURE,2,"coronavirus, middle-aged adults","['coronavirus', ' middle-aged adults']",2.0,23,en,91,91_coronavirus_flu_virus_children
39091,44583,28649,691,http://data.gesis.org/claimskg/creative_work/e7c890e9-01f4-5c82-ab18-69463017defe,Iraq Reports Coronavirus Variant ‘More Dangerous’ for Children,polygraph,English,OTHER,-1,"Dangerous, Iraq","['Dangerous', ' Iraq']",2.0,8,en,91,91_coronavirus_flu_virus_children
39125,44625,27286,5741,http://data.gesis.org/claimskg/creative_work/1faed6af-3b95-56d1-9673-044ce2d07ea0,The NHS has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome.,fullfact,English,OTHER,-1,"coronavirus, toxic shock syndrome","['coronavirus', ' toxic shock syndrome']",2.0,22,en,91,91_coronavirus_flu_virus_children
