Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
22244,27370,21902,357,http://data.gesis.org/claimskg/creative_work/0e530809-378f-517e-8d13-e9daecb531bc,All Japanese citizens who have received their Covid-19 vaccine are not permitted to give blood.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,15,en,92,92_ivermectin_covid_covid19_vaccine
28643,33927,11385,37,http://data.gesis.org/claimskg/creative_work/fa61efed-479c-5618-b24b-a8bd6b9ab246,South Korea destroyed Covid-19 vaccines after failing to maintain storage temperature.,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, South Korea","['Covid-19 vaccines', ' South Korea']",2.0,11,en,92,92_ivermectin_covid_covid19_vaccine
36305,41669,36235,3985,http://data.gesis.org/claimskg/creative_work/e08a11dd-c210-59b5-a68f-55438fb352a8,"Japan drops vax rollout, goes to Ivermectin, ENDS COVID almost overnight.",Vishvanews,English,FALSE,1,"Ivermectin, Japan","['Ivermectin', ' Japan']",2.0,11,en,92,92_ivermectin_covid_covid19_vaccine
36325,41692,36026,3776,http://data.gesis.org/claimskg/creative_work/c33ae902-35ac-5553-b42f-b5ddaa54245b,"Japan drops vax rollout, goes to Ivermectin, ENDS COVID almost overnight",Vishvanews,English,FALSE,1,"Ivermectin, Japan","['Ivermectin', ' Japan']",2.0,11,en,92,92_ivermectin_covid_covid19_vaccine
37694,43115,14041,2693,http://data.gesis.org/claimskg/creative_work/8ee5a265-c0f4-5b5d-a24c-6d89ed95ffdf,A factory storing Covid-19 vaccines exploded in Japan,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Japan","['Covid-19 vaccines', ' Japan']",2.0,8,en,92,92_ivermectin_covid_covid19_vaccine
39637,45172,23518,1973,http://data.gesis.org/claimskg/creative_work/c8a0d571-1523-5445-b9fd-fcf02ddfa678,Japan has dropped Covid-19 vaccine mandates.,fullfact,English,TRUE,3,"Covid-19 vaccine, Japan","['Covid-19 vaccine', ' Japan']",2.0,6,en,92,92_ivermectin_covid_covid19_vaccine
41323,47203,12398,1050,http://data.gesis.org/claimskg/creative_work/9ebe4926-2cd6-56e9-b5ae-f169e91ec08a,Japan halts use of vaccines against Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Japan","['Covid-19', ' Japan']",2.0,7,en,92,92_ivermectin_covid_covid19_vaccine
42279,48179,12110,762,http://data.gesis.org/claimskg/creative_work/5e192a26-3dbe-5995-af55-d5e1e8ba8230,Japan has not declared the end of Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Japan","['Covid-19', ' Japan']",2.0,8,en,92,92_ivermectin_covid_covid19_vaccine
46028,52195,26640,5095,http://data.gesis.org/claimskg/creative_work/83cf7245-9ca2-5cd1-9fab-bcd4cfdda978,"Japan stopped its vaccine rollout, treated people with ivermectin and ended Covid-19 almost overnight.",fullfact,English,FALSE,1,"Japan, ivermectin, vaccine rollout","['Japan', ' ivermectin', ' vaccine rollout']",3.0,14,en,92,92_ivermectin_covid_covid19_vaccine
53342,59731,10231,3993,http://data.gesis.org/claimskg/creative_work/6ce7ef45-9746-57fb-bf87-03d06db4a01c,A post shared on Instagram claims the late former Japanese Prime Minister Shinzo Abe sent back 1.6 million COVID-19 vaccine doses during the COVID-19 pandemic and also gave citizens ivermectin.,checkyourfact,English,FALSE,1,"COVID-19, Instagram, ivermectin","['COVID-19', ' Instagram', ' ivermectin']",3.0,30,en,92,92_ivermectin_covid_covid19_vaccine
63960,70849,12888,1540,http://data.gesis.org/claimskg/creative_work/ab874f1b-ef23-5111-b9e7-6f1365575c0c,Japanese hospital calls halt to Pfizer-BioNTech's Covid-19 vaccine after adverse vaccine effects caused state emergency,factcheck_afp,English,FALSE,1,"BioNTech, Covid-19 vaccine, Pfizer, state emergency, vaccine","['BioNTech', ' Covid-19 vaccine', ' Pfizer', ' state emergency', ' vaccine']",5.0,15,en,92,92_ivermectin_covid_covid19_vaccine
64196,71093,10604,4366,http://data.gesis.org/claimskg/creative_work/7c8160dc-9931-5a04-b2c1-839b36959474,A post shared on Instagram claims Japan halted its COVID-19 vaccine rollout and switched to using ivermectin to combat the spread of the virus.,checkyourfact,English,FALSE,1,"COVID-19 vaccine rollout, Instagram, Japan, ivermectin, spread of the virus","['COVID-19 vaccine rollout', ' Instagram', ' Japan', ' ivermectin', ' spread of the virus']",5.0,24,en,92,92_ivermectin_covid_covid19_vaccine
65119,72072,71099,9070,http://data.gesis.org/claimskg/creative_work/2bfd593d-af0f-532c-9090-0c81dd5ca9c7,Health officials in Japan have halted vaccine rollouts for COVID-19 and have instead authorized treatment with the anti-parasite drug ivermectin.,snopes,English,False,1,"COVID-19, Health officials, Japan, anti-parasite, ivermectin, vaccine","['COVID-19', ' Health officials', ' Japan', ' anti-parasite', ' ivermectin', ' vaccine']",6.0,20,en,92,92_ivermectin_covid_covid19_vaccine
