Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
14789,19175,48487,617,http://data.gesis.org/claimskg/creative_work/135d598b-b37b-5047-ab40-c0b75bed599a,"You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.",politifact,English,MIXTURE,2,medical malpractice,['medical malpractice'],1.0,18,en,95,95_insurance_covid_healthinsurance_covid19related
24159,29415,54419,6549,http://data.gesis.org/claimskg/creative_work/4b589e7c-6b33-5c5e-9bbd-69ad53a897ab,"For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‐19‐related testing and treatment.",politifact,English,MIXTURE,2,"COVID-19, health-insurance","['COVID-19', ' health-insurance']",2.0,26,en,95,95_insurance_covid_healthinsurance_covid19related
27118,32388,46404,7577,http://data.gesis.org/claimskg/creative_work/122fbf7b-8e3c-513e-9f60-d522a88c49e6,The health insurance industry has agreed to waive all co-payments for coronavirus treatments.,politifact,English,False,1,"co-payments, health insurance industry","['co-payments', ' health insurance industry']",2.0,13,en,95,95_insurance_covid_healthinsurance_covid19related
28014,33294,46901,8074,http://data.gesis.org/claimskg/creative_work/1be13d9a-f9d7-5c74-b0c5-8d0aef7134dc,Getting the COVID-19 vaccine jeopardizes life insurance policies.,politifact,English,False,1,"COVID-19 vaccine, life insurance policies","['COVID-19 vaccine', ' life insurance policies']",2.0,8,en,95,95_insurance_covid_healthinsurance_covid19related
37926,43349,13723,2375,http://data.gesis.org/claimskg/creative_work/407014ae-d1fd-5bfb-8c74-7616e7c6e192,Australian companies stop offering life insurance due to Covid-19 vaccines,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, life insurance","['Covid-19 vaccines', ' life insurance']",2.0,10,en,95,95_insurance_covid_healthinsurance_covid19related
39997,45633,31634,2487,http://data.gesis.org/claimskg/creative_work/4ce34f31-8fde-5a82-85bf-271f4034a73c,Life insurance policies are being invalidated for people who receive a COVID-19 vaccine.,truthorfiction,English,FALSE,1,"COVID-19 vaccine, Life insurance policies","['COVID-19 vaccine', ' Life insurance policies']",2.0,13,en,95,95_insurance_covid_healthinsurance_covid19related
44516,50566,16783,5435,http://data.gesis.org/claimskg/creative_work/84bf7629-a7ff-5835-9d9e-e3154ecf8b56,Life insurance companies will not pay claims if a person dies after vaccination against Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Life insurance companies, vaccination","['Covid-19', ' Life insurance companies', ' vaccination']",3.0,15,en,95,95_insurance_covid_healthinsurance_covid19related
51660,58042,13036,1688,http://data.gesis.org/claimskg/creative_work/45177fd0-3729-534c-b452-0cf6edd52aaa,Manulife will deny life insurance payments to people who have been immunized against Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Manulife, life insurance","['Covid-19', ' Manulife', ' life insurance']",3.0,14,en,95,95_insurance_covid_healthinsurance_covid19related
54587,60994,5937,5937,http://data.gesis.org/claimskg/creative_work/6817a3a0-9883-5319-84a6-3d83a90377a8,"Receiving the Covid-19 vaccine renders life insurance invalid, even if cause of death is unrelated to the disease or vaccine.",africacheck,English,FALSE,1,"Covid-19 vaccine, life insurance, vaccine","['Covid-19 vaccine', ' life insurance', ' vaccine']",3.0,20,en,95,95_insurance_covid_healthinsurance_covid19related
56775,63272,69006,6977,http://data.gesis.org/claimskg/creative_work/e4e0ae9c-060f-543d-ae19-ef68a4b19c0b,Receiving the COVID-19 vaccination could disqualify policyholders from receiving life insurance benefits if they died as result of the vaccine because the immunization is considered experimental.,snopes,English,False,1,"COVID-19 vaccination, immunization, life insurance, vaccine","['COVID-19 vaccination', ' immunization', ' life insurance', ' vaccine']",4.0,26,en,95,95_insurance_covid_healthinsurance_covid19related
60006,66635,4131,4131,http://data.gesis.org/claimskg/creative_work/937c935b-0c53-570f-9ae8-c0f862c318a6,"French billionaire’s heirs lose out on millions? No, Covid vaccine doesn’t void life insurance in France",africacheck,English,FALSE,1,"Covid vaccine, France, billionaire, life insurance","['Covid vaccine', ' France', ' billionaire', ' life insurance']",4.0,16,en,95,95_insurance_covid_healthinsurance_covid19related
60653,67319,50253,2383,http://data.gesis.org/claimskg/creative_work/ec1b3556-669a-533a-a730-6e98e0065a24,"Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.",politifact,English,MIXTURE,2,"COVID, Ron Johnson, insurance companies, pre-existing conditions","['COVID', ' Ron Johnson', ' insurance companies', ' pre-existing conditions']",4.0,22,en,95,95_insurance_covid_healthinsurance_covid19related
63770,70645,52981,5111,http://data.gesis.org/claimskg/creative_work/f012f6b7-5582-5a50-a8ce-2b91ad76c22b,"Eric Esshaki would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.",politifact,English,MIXTURE,2,"COVID-19, Eric Esshaki, Michiganders, insurance companies, preexisting condition","['COVID-19', ' Eric Esshaki', ' Michiganders', ' insurance companies', ' preexisting condition']",5.0,30,en,95,95_insurance_covid_healthinsurance_covid19related
