Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
26977,32245,11085,4847,http://data.gesis.org/claimskg/creative_work/7a5589eb-a39d-5a07-8163-640c2449e399,An image shared on Facebook more than 550 times claims that Utah Jazz basketball player Emmanuel Mudiay tested positive for COVID-19.,checkyourfact,English,FALSE,1,"Facebook, tested positive for COVID-19","['Facebook', ' tested positive for COVID-19']",2.0,21,en,96,96_covid19_tested_positive_vaxxed
44091,50137,61199,3039,http://data.gesis.org/claimskg/creative_work/81fc9e13-8146-5b9f-a896-602a0e7098b2,"On Sept. 18, 2020, Twitter user @JohnCammo predicted that U.S. President Donald Trump would announce in October that he had tested positive for COVID-19.",snopes,English,True,3,"Twitter, U.S. President Donald Trump, tested positive for COVID-19","['Twitter', ' U.S. President Donald Trump', ' tested positive for COVID-19']",3.0,24,en,96,96_covid19_tested_positive_vaxxed
46422,52591,73041,1755,http://data.gesis.org/claimskg/creative_work/f70e9c7a-a47f-50dd-b160-939895bae9b1,A negative COVID-19 test will clear people to go to holiday gatherings with their family and friends across the United States.,snopes,English,MIXTURE,2,"United States, family and friends, negative COVID-19 test","['United States', ' family and friends', ' negative COVID-19 test']",3.0,21,en,96,96_covid19_tested_positive_vaxxed
48020,54209,29598,451,http://data.gesis.org/claimskg/creative_work/df76e7c7-837c-54a6-b760-1dec4e88bcad,Twitter user @into_the_brush provided an accurate account of attempting to be tested for novel coronavirus (COVID-19) in Seattle.,truthorfiction,English,OTHER,-1,"COVID-19, Seattle, Twitter","['COVID-19', ' Seattle', ' Twitter']",3.0,18,en,96,96_covid19_tested_positive_vaxxed
51487,57868,15191,3843,http://data.gesis.org/claimskg/creative_work/f7dbe0d2-337d-5598-80ae-214d595bad42,WHO DG Tedros Ghebreyesus tests positive for Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Tedros Ghebreyesus, tests positive","['Covid-19', ' Tedros Ghebreyesus', ' tests positive']",3.0,8,en,96,96_covid19_tested_positive_vaxxed
54063,60458,58229,69,http://data.gesis.org/claimskg/creative_work/d95cffdf-9b44-524d-9996-b4874b486cff,Chuck Woolery wrote on Twitter that his son had tested positive for COVID-19.,snopes,English,True,3,"Chuck Woolery, tested positive for COVID-19, wrote on Twitter","['Chuck Woolery', ' tested positive for COVID-19', ' wrote on Twitter']",3.0,13,en,96,96_covid19_tested_positive_vaxxed
54289,60688,59421,1261,http://data.gesis.org/claimskg/creative_work/b3f42178-2ea3-5f31-be64-3b577be78b1b,Musician Ted Nugent revealed in April 2021 that he has tested positive for COVID-19.,snopes,English,True,3,"April 2021, Ted Nugent, tested positive for COVID-19","['April 2021', ' Ted Nugent', ' tested positive for COVID-19']",3.0,14,en,96,96_covid19_tested_positive_vaxxed
58208,64728,8192,1954,http://data.gesis.org/claimskg/creative_work/6f0fc31a-60a7-55c0-9294-ac0110b3eb2f,"An image shared on Facebook more than 1,100 times claims the late convicted sex offender Jeffrey Epstein’s associate Ghislaine Maxwell recently tested positive for COVID-19 in a New Hampshire jail.",checkyourfact,English,FALSE,1,"Facebook, Ghislaine Maxwell, convicted sex offender, tested positive for COVID-19","['Facebook', ' Ghislaine Maxwell', ' convicted sex offender', ' tested positive for COVID-19']",4.0,30,en,96,96_covid19_tested_positive_vaxxed
59390,65957,9376,3138,http://data.gesis.org/claimskg/creative_work/dddac0d8-0d83-50ea-9f19-09b3e941ef82,"An image shared on Facebook claims President Donald Trump said that his COVID-19 test was sooo negative, that the doctors said they never saw a negative number so low.",checkyourfact,English,FALSE,1,"COVID-19, Facebook, President Donald Trump, negative number","['COVID-19', ' Facebook', ' President Donald Trump', ' negative number']",4.0,29,en,96,96_covid19_tested_positive_vaxxed
59874,66492,75293,946,http://data.gesis.org/claimskg/creative_work/b33ebec0-9801-53cd-b530-37986bdea411,Jeffrey Epstein associate Ghislaine Maxwell has tested positive for COVID-19 in a New Hampshire jail.,snopes,English,OTHER,-1,"Ghislaine Maxwell, Jeffrey Epstein, New Hampshire, tested positive for COVID-19","['Ghislaine Maxwell', ' Jeffrey Epstein', ' New Hampshire', ' tested positive for COVID-19']",4.0,15,en,96,96_covid19_tested_positive_vaxxed
