Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
153,1301,17369,6021,http://data.gesis.org/claimskg/creative_work/8c4b6932-6487-5204-b49e-4d360a28b500,A combination of several different videos showing that the pandemic is staged,factcheck_afp,English,FALSE,1,,,0.0,12,en,9,9_pandemic_coronavirus_simpsons_predicts
407,2407,46461,7634,http://data.gesis.org/claimskg/creative_work/3ffad903-1065-5eea-8908-9728e6f10077,This is a phony pandemic.,politifact,English,False,1,,,0.0,5,en,9,9_pandemic_coronavirus_simpsons_predicts
412,2412,46399,7572,http://data.gesis.org/claimskg/creative_work/466a6c30-eb4c-56e6-9e42-7558a9837549,This whole COVID thing? It’s a SIMULATION.,politifact,English,False,1,,,0.0,7,en,9,9_pandemic_coronavirus_simpsons_predicts
1950,4023,41336,2509,http://data.gesis.org/claimskg/creative_work/68130c01-0520-5f40-9b16-abe2bb7c1502,"I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.",politifact,English,False,1,,,0.0,24,en,9,9_pandemic_coronavirus_simpsons_predicts
2236,4318,38941,114,http://data.gesis.org/claimskg/creative_work/dc4b2413-b019-5099-b3e5-ef858873761d,Says The Simpsons predicted the coronavirus.,politifact,English,False,1,,,0.0,6,en,9,9_pandemic_coronavirus_simpsons_predicts
2873,5217,27097,5552,http://data.gesis.org/claimskg/creative_work/64411731-f79c-51b5-b770-01ccbaa100bd,French writer Jacques Attali claimed the future would be about finding a way to reduce the population through a pandemic.,fullfact,English,OTHER,-1,,,0.0,20,en,9,9_pandemic_coronavirus_simpsons_predicts
4092,6554,27948,6403,http://data.gesis.org/claimskg/creative_work/9b83e174-0fe2-5ab8-9377-4f5bb748f476,The government orchestrated the fuel panic to sell off soon-to-expire fuel stocks built up during the pandemic.,fullfact,English,FALSE,1,,,0.0,17,en,9,9_pandemic_coronavirus_simpsons_predicts
7444,11720,65694,3665,http://data.gesis.org/claimskg/creative_work/9fca4589-eb39-502b-9b09-9b51462f931d,An episode of the 1980s television show ALF predicted that there would be a global pandemic in 2020.,snopes,English,False,1,pandemic in 2020,['pandemic in 2020'],1.0,18,en,9,9_pandemic_coronavirus_simpsons_predicts
8757,13088,31230,2083,http://data.gesis.org/claimskg/creative_work/133b9077-143d-5ef8-b2f9-8581864135f6,The Simpsons predicted the emergence of coronavirus in 1993.,truthorfiction,English,FALSE,1,The Simpsons,['The Simpsons'],1.0,9,en,9,9_pandemic_coronavirus_simpsons_predicts
10013,14355,25359,3814,http://data.gesis.org/claimskg/creative_work/1d07d675-e069-59cb-84ce-58f57a8c22d1,A film from 1956 predicted the Covid-19 pandemic,fullfact,English,OTHER,-1,Covid-19 pandemic,['Covid-19 pandemic'],1.0,8,en,9,9_pandemic_coronavirus_simpsons_predicts
10502,14846,69327,7298,http://data.gesis.org/claimskg/creative_work/029529bd-61cd-57fb-859f-9a7c60e414cb,An early warning cartoon predicting how a planned pandemic would be used to take over the world was created in the 1930s.,snopes,English,False,1,world was created,['world was created'],1.0,22,en,9,9_pandemic_coronavirus_simpsons_predicts
