,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang
21,153,16166,4818,http://data.gesis.org/claimskg/creative_work/8b6de706-d3c1-56bf-a34f-f8d4a2a14740,Coronavirus was stolen from a Canadian lab by Chinese spies,factcheck_afp,English,FALSE,1,,,0.0,10,en
32,223,16232,4884,http://data.gesis.org/claimskg/creative_work/b8b828d1-599a-53d2-9403-d2a19be0a4b9,"Indian villagers chase out staff and military trying to intimidate, test and vaccinate people",factcheck_afp,English,FALSE,1,,,0.0,14,en
40,288,16626,5278,http://data.gesis.org/claimskg/creative_work/886953ff-2501-53dd-a8f1-f3e0728b507a,Sri Lankan specialist doctor says vaccines not effective against Omicron,factcheck_afp,English,FALSE,1,,,0.0,10,en
81,579,15718,4370,http://data.gesis.org/claimskg/creative_work/88639f00-b3f4-53fb-8160-d1befc1d7186,Australian couple quarantined on cruise due to novel coronavirus gets wine delivered by drone,factcheck_afp,English,FALSE,1,,,0.0,14,en
98,697,36040,3790,http://data.gesis.org/claimskg/creative_work/74dfe269-5930-5e04-bac5-0285715b8a54,Coronavirus remains in throat for 4 days,Vishvanews,English,FALSE,1,,,0.0,7,en
100,705,15537,4189,http://data.gesis.org/claimskg/creative_work/ace0a9bb-2192-5d5e-af51-fbd06c0af2fa,Masks are meant to protect the vaccinated,factcheck_afp,English,FALSE,1,,,0.0,7,en
101,706,15538,4190,http://data.gesis.org/claimskg/creative_work/fef0703e-8832-5c40-81d0-ee0a245d2d97,US Vice President delivers empty boxes to hospital during coronavirus crisis,factcheck_afp,English,FALSE,1,,,0.0,11,en
107,749,15509,4161,http://data.gesis.org/claimskg/creative_work/cee033ed-0fd8-5d79-8247-0aff490ec2b6,Pakistani health minister says she won’t get vaccinated,factcheck_afp,English,FALSE,1,,,0.0,8,en
114,787,15643,4295,http://data.gesis.org/claimskg/creative_work/de74ea78-44b7-5fbb-a9e9-c2fe550428e2,Grandpa vaccinated and arrested for not wearing a mask?,factcheck_afp,English,FALSE,1,,,0.0,9,en
115,789,15641,4293,http://data.gesis.org/claimskg/creative_work/60308586-dd92-5b58-9b02-60edf9456497,Video shows Chinese health workers forcing woman to get vaccinated,factcheck_afp,English,FALSE,1,,,0.0,10,en
119,872,15993,4645,http://data.gesis.org/claimskg/creative_work/a6b135dc-6e7e-5e66-9ef3-bfd9d01d9838,This photo shows a lion patrolling Russian streets during coronavirus lockdown,factcheck_afp,English,FALSE,1,,,0.0,11,en
127,970,16053,4705,http://data.gesis.org/claimskg/creative_work/3b31686d-5761-5de7-87b6-987494bc160d,Photo shows Trump receiving treatment after contracting novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en
135,1059,35676,3426,http://data.gesis.org/claimskg/creative_work/00d92d1a-a131-5309-b54c-eb7af44be621,WHO Said Coronavirus Is Losing Potency,Vishvanews,English,FALSE,1,,,0.0,6,en
